Transaction ID,Transaction Date,Product Key,Quantity,Unit Price,Total Sales
TXN-07-0001,2026-07-23,Microsoft LifeCam HD-3000,4,3684.53,14738.12
TXN-07-0002,2026-07-25,Jabra Evolve2 40 Headset,5,13185.45,65927.25
TXN-07-0003,2026-07-14,Belkin USB-C 7-in-1 Hub,17,6366.95,108238.15
TXN-07-0004,2026-07-27,Poly Studio P15 Video Bar,12,34514.49,414173.88
TXN-07-0005,2026-07-05,Belkin USB-C 7-in-1 Hub,5,6378.51,31892.55
TXN-07-0006,2026-07-04,SanDisk Extreme Portable SSD 1TB,2,10434.96,20869.92
TXN-07-0007,2026-07-18,Logitech MX Master 3S,9,9118.26,82064.34
TXN-07-0008,2026-07-11,Dell P2425H Monitor,12,19966.07,239592.84
TXN-07-0009,2026-07-05,Microsoft LifeCam HD-3000,13,3317.14,43122.82
TXN-07-0010,2026-07-25,Belkin USB-C 7-in-1 Hub,2,6365.3,12730.6
TXN-07-0011,2026-07-29,TP-Link UE300 Ethernet Adapter,20,1229.04,24580.8
TXN-07-0012,2026-07-07,Lenovo ThinkVision T24i,13,24372.89,316847.57
TXN-07-0013,2026-07-25,Logitech Brio 500 Webcam,16,10917.48,174679.68
TXN-07-0014,2026-07-09,Kingston DataTraveler 64GB,3,692.76,2078.28
TXN-07-0015,2026-07-06,Lenovo ThinkVision T24i,9,23445.33,211007.97
TXN-07-0016,2026-07-16,Samsung T7 Shield SSD 2TB,14,18545.48,259636.72
TXN-07-0017,2026-07-08,Dell P2425H Monitor,10,19486.83,194868.3
TXN-07-0018,2026-07-22,APC Back-UPS 1100VA,8,8918.86,71350.88
TXN-07-0019,2026-07-12,Kingston DataTraveler 64GB,15,701.93,10528.95
TXN-07-0020,2026-07-07,Cisco CBS110 Network Switch,20,8003.0,160060.0
TXN-07-0021,2026-07-23,Logitech Brio 500 Webcam,16,11315.33,181045.28
TXN-07-0022,2026-07-04,TP-Link UE300 Ethernet Adapter,4,1203.19,4812.76
TXN-07-0023,2026-07-06,Logitech MX Master 3S,9,8980.53,80824.77
TXN-07-0024,2026-07-29,Jabra Evolve2 40 Headset,5,12322.32,61611.6
TXN-07-0025,2026-07-31,Poly Studio P15 Video Bar,17,35744.28,607652.76
TXN-07-0026,2026-07-20,TP-Link UE300 Ethernet Adapter,9,1205.71,10851.39
TXN-07-0027,2026-07-31,Logitech Brio 500 Webcam,3,10968.19,32904.57
TXN-07-0028,2026-07-21,Kingston DataTraveler 64GB,1,679.05,679.05
TXN-07-0029,2026-07-29,Cisco CBS110 Network Switch,8,8797.61,70380.88
TXN-07-0030,2026-07-27,Cisco CBS110 Network Switch,17,8254.95,140334.15
TXN-07-0031,2026-07-11,Belkin USB-C 7-in-1 Hub,2,6293.06,12586.12
TXN-07-0032,2026-07-10,SanDisk Extreme Portable SSD 1TB,18,10303.56,185464.08
TXN-07-0033,2026-07-10,Logitech Brio 500 Webcam,12,11182.82,134193.84
TXN-07-0034,2026-07-15,APC Back-UPS 1100VA,6,9204.42,55226.52
TXN-07-0035,2026-07-20,Kingston DataTraveler 64GB,5,715.56,3577.8
TXN-07-0036,2026-07-06,Poly Studio P15 Video Bar,11,34839.14,383230.54
TXN-07-0037,2026-07-19,Lenovo ThinkVision T24i,3,23190.62,69571.86
TXN-07-0038,2026-07-18,Jabra Evolve2 40 Headset,9,11754.6,105791.4
TXN-07-0039,2026-07-10,SanDisk Extreme Portable SSD 1TB,20,9873.37,197467.4
TXN-07-0040,2026-07-20,HP E24 G5 Monitor,19,22187.13,421555.47
TXN-07-0041,2026-07-30,Jabra Evolve2 40 Headset,13,12189.8,158467.4
TXN-07-0042,2026-07-29,APC Back-UPS 1100VA,19,9329.14,177253.66
TXN-07-0043,2026-07-08,Logitech K380 Keyboard,7,3248.71,22740.97
TXN-07-0044,2026-07-07,Kingston DataTraveler 64GB,13,726.42,9443.46
TXN-07-0045,2026-07-18,Cisco CBS110 Network Switch,7,8187.25,57310.75
TXN-07-0046,2026-07-03,APC Back-UPS 1100VA,20,8701.66,174033.2
TXN-07-0047,2026-07-14,Logitech Brio 500 Webcam,19,11003.06,209058.14
TXN-07-0048,2026-07-04,APC Back-UPS 1100VA,7,8767.47,61372.29
TXN-07-0049,2026-07-28,Jabra Evolve2 40 Headset,6,13122.21,78733.26
