Transaction ID,Transaction Date,Product Key,Quantity,Unit Price,Total Sales
TXN-05-0001,2026-05-11,Logitech K380 Keyboard,17,3477.68,59120.56
TXN-05-0002,2026-05-29,Logitech K380 Keyboard,8,3455.3,27642.4
TXN-05-0003,2026-05-18,Belkin USB-C 7-in-1 Hub,14,6720.0,94080.0
TXN-05-0004,2026-05-27,TP-Link UE300 Ethernet Adapter,16,1235.12,19761.92
TXN-05-0005,2026-05-15,Belkin USB-C 7-in-1 Hub,8,6111.04,48888.32
TXN-05-0006,2026-05-04,Logitech K380 Keyboard,10,3424.4,34244.0
TXN-05-0007,2026-05-01,Microsoft LifeCam HD-3000,16,3574.32,57189.12
TXN-05-0008,2026-05-13,HP E24 G5 Monitor,9,21105.98,189953.82
TXN-05-0009,2026-05-26,SanDisk Extreme Portable SSD 1TB,13,11128.51,144670.63
TXN-05-0010,2026-05-21,TP-Link UE300 Ethernet Adapter,3,1231.1,3693.3
TXN-05-0011,2026-05-18,Logitech K380 Keyboard,18,3216.71,57900.78
TXN-05-0012,2026-05-05,Microsoft LifeCam HD-3000,19,3418.8,64957.2
TXN-05-0013,2026-05-12,SanDisk Extreme Portable SSD 1TB,15,10401.0,156015.0
TXN-05-0014,2026-05-29,Jabra Evolve2 40 Headset,19,12580.67,239032.73
TXN-05-0015,2026-05-14,Logitech K380 Keyboard,17,3418.77,58119.09
TXN-05-0016,2026-05-29,Belkin USB-C 7-in-1 Hub,16,6419.57,102713.12
TXN-05-0017,2026-05-09,TP-Link UE300 Ethernet Adapter,14,1208.21,16914.94
TXN-05-0018,2026-05-17,Microsoft LifeCam HD-3000,17,3627.14,61661.38
TXN-05-0019,2026-05-08,Belkin USB-C 7-in-1 Hub,5,6747.1,33735.5
TXN-05-0020,2026-05-29,TP-Link UE300 Ethernet Adapter,4,1230.27,4921.08
TXN-05-0021,2026-05-16,Jabra Evolve2 40 Headset,5,12472.17,62360.85
TXN-05-0022,2026-05-28,HP E24 G5 Monitor,4,21825.79,87303.16
TXN-05-0023,2026-05-22,Microsoft LifeCam HD-3000,16,3589.07,57425.12
TXN-05-0024,2026-05-09,TP-Link UE300 Ethernet Adapter,18,1184.91,21328.38
TXN-05-0025,2026-05-18,Kingston DataTraveler 64GB,17,715.64,12165.88
TXN-05-0026,2026-05-14,Jabra Evolve2 40 Headset,7,12190.59,85334.13
TXN-05-0027,2026-05-01,Kingston DataTraveler 64GB,2,669.63,1339.26
TXN-05-0028,2026-05-31,Belkin USB-C 7-in-1 Hub,15,6735.73,101035.95
TXN-05-0029,2026-05-12,Microsoft LifeCam HD-3000,7,3398.28,23787.96
TXN-05-0030,2026-05-15,Microsoft LifeCam HD-3000,17,3610.98,61386.66
TXN-05-0031,2026-05-26,Microsoft LifeCam HD-3000,14,3523.29,49326.06
TXN-05-0032,2026-05-27,Logitech MX Master 3S,10,8801.01,88010.1
TXN-05-0033,2026-05-15,Logitech K380 Keyboard,17,3203.53,54460.01
TXN-05-0034,2026-05-31,Dell P2425H Monitor,14,19779.72,276916.08
TXN-05-0035,2026-05-31,Microsoft LifeCam HD-3000,3,3561.37,10684.11
TXN-05-0036,2026-05-12,Microsoft LifeCam HD-3000,4,3370.76,13483.04
TXN-05-0037,2026-05-05,Jabra Evolve2 40 Headset,15,13123.67,196855.05
TXN-05-0038,2026-05-01,Logitech K380 Keyboard,15,3330.92,49963.8
TXN-05-0039,2026-05-20,Logitech K380 Keyboard,7,3199.17,22394.19
TXN-05-0040,2026-05-02,Belkin USB-C 7-in-1 Hub,18,6854.91,123388.38
